Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ZULHAZMI BIN SHARIFF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO SERI DR. JAMIL KHIR BAHAROM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ SABRI BIN AZIT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK NIZAM MAHSHAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
38,SINGKIR LAUT 012/21/16,"SEKOLAH KEBANGSAAN SINGKIR, BEDONG",2,375,19,60,293,3,375,0,0
39,PEKAN JENIANG 012/22/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SULONG, JENIANG",1,307,186,62,52,0,300,7,0
39,PEKAN JENIANG 012/22/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SULONG, JENIANG",2,430,135,50,236,7,428,2,0
40,KAMPUNG JENIANG 012/22/02,"SEKOLAH KEBANGSAAN JENIANG (PUSAT), JENIANG",1,302,53,125,108,10,296,6,0
40,KAMPUNG JENIANG 012/22/02,"SEKOLAH KEBANGSAAN JENIANG (PUSAT), JENIANG",2,347,49,65,229,2,345,2,0
40,KAMPUNG JENIANG 012/22/02,"SEKOLAH KEBANGSAAN JENIANG (PUSAT), JENIANG",3,372,66,57,247,1,371,1,0
41,BATU SEPULOH 012/22/03,"SEKOLAH JENIS KEBANGSAAN (CINA) JENIANG, JENIANG",1,340,33,130,164,2,329,11,0
41,BATU SEPULOH 012/22/03,"SEKOLAH JENIS KEBANGSAAN (CINA) JENIANG, JENIANG",2,393,29,89,267,6,391,2,0
41,BATU SEPULOH 012/22/03,"SEKOLAH JENIS KEBANGSAAN (CINA) JENIANG, JENIANG",3,367,25,52,284,3,364,3,0
41,BATU SEPULOH 012/22/03,"SEKOLAH JENIS KEBANGSAAN (CINA) JENIANG, JENIANG",4,434,35,71,328,0,434,0,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.012 JERAI
JUMLAH PEMILIH: 105,001                                                                                                                                                                                             MUKASURAT: 8/11",BATU SEPULOH 012/22/03,"SEKOLAH JENIS KEBANGSAAN (CINA) JENIANG, JENIANG",4,434,35,71,328,0,434,0,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",71,328,0,434,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),ZULHAZMI BIN SHARIFF,DATO SERI DR. JAMIL KHIR BAHAROM,USTAZ SABRI BIN AZIT,DATUK NIZAM MAHSHAR,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
42,BATU 9 012/22/04,"SEKOLAH KEBANGSAAN JENIANG (PUSAT), JENIANG",4,320,33,133,137,11,314,6,0
42,BATU 9 012/22/04,"SEKOLAH KEBANGSAAN JENIANG (PUSAT), JENIANG",5,347,17,75,248,6,346,1,0
43,PADANG LEMBU 012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",1,303,207,52,27,8,294,9,0
43,PADANG LEMBU 012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",2,359,196,100,47,6,349,10,0
43,PADANG LEMBU 012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",3,565,348,106,96,3,553,12,0
43,PADANG LEMBU 012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",4,489,299,52,125,7,483,6,0
43,PADANG LEMBU 012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",5,510,224,73,206,0,503,7,0
43,PADANG LEMBU 012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",6,477,159,63,249,1,472,5,0
43,PADANG LEMBU 012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",7,566,195,81,289,0,565,1,0
44,SUNGAI ROTAN 012/22/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YANG KAO, GUAR CHEMPEDAK",1,290,10,117,127,3,257,33,0
44,SUNGAI ROTAN 012/22/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YANG KAO, GUAR CHEMPEDAK",2,293,8,49,232,1,290,3,0
45,GURUN 012/22/07,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",1,316,29,122,154,6,311,5,0
45,GURUN 012/22/07,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",2,461,45,82,322,9,458,3,0
45,GURUN 012/22/07,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",3,430,44,51,328,7,430,0,0
45,GURUN 012/22/07,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",4,498,54,48,392,3,497,1,0
46,PULAU CHENGAI 012/22/08,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",5,355,65,115,165,2,347,8,0
46,PULAU CHENGAI 012/22/08,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",6,453,74,85,288,4,451,2,0
46,PULAU CHENGAI 012/22/08,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",7,468,75,65,326,1,467,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.012 JERAI
JUMLAH PEMILIH: 105,001                                                                                                                                                                                             MUKASURAT: 9/11",PULAU CHENGAI 012/22/08,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",7,468,75,65,326,1,467,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",65,326,1,467,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),ZULHAZMI BIN SHARIFF,DATO SERI DR. JAMIL KHIR BAHAROM,USTAZ SABRI BIN AZIT,DATUK NIZAM MAHSHAR,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
47,BONGKOK GURUN 012/22/09,"SEKOLAH KEBANGSAAN BATU EMPAT, GURUN",1,352,29,135,174,3,341,11,0
47,BONGKOK GURUN 012/22/09,"SEKOLAH KEBANGSAAN BATU EMPAT, GURUN",2,390,28,102,256,3,389,1,0
47,BONGKOK GURUN 012/22/09,"SEKOLAH KEBANGSAAN BATU EMPAT, GURUN",3,524,35,98,382,5,520,4,0
47,BONGKOK GURUN 012/22/09,"SEKOLAH KEBANGSAAN BATU EMPAT, GURUN",4,476,58,55,356,6,475,1,0
47,BONGKOK GURUN 012/22/09,"SEKOLAH KEBANGSAAN BATU EMPAT, GURUN",5,470,46,45,375,2,468,2,0
47,BONGKOK GURUN 012/22/09,"SEKOLAH KEBANGSAAN BATU EMPAT, GURUN",6,518,58,53,405,1,517,1,0
47,BONGKOK GURUN 012/22/09,"SEKOLAH KEBANGSAAN BATU EMPAT, GURUN",7,547,51,51,445,0,547,0,0
48,PEKAN GURUN 012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",1,298,177,53,58,3,291,7,0
48,PEKAN GURUN 012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",2,345,172,72,79,10,333,12,0
48,PEKAN GURUN 012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",3,361,230,52,74,3,359,2,0
48,PEKAN GURUN 012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",4,485,286,54,126,12,478,7,0
48,PEKAN GURUN 012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",5,453,236,45,161,0,442,11,0
48,PEKAN GURUN 012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",6,427,209,40,173,2,424,3,0
48,PEKAN GURUN 012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",7,431,230,36,164,1,431,0,0
48,PEKAN GURUN 012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",8,515,246,51,213,3,513,2,0
49,PEKAN BARU GURUN 012/22/11,"SEKOLAH KEBANGSAAN SRI JERAI, GURUN",1,331,260,44,16,7,327,4,0
49,PEKAN BARU GURUN 012/22/11,"SEKOLAH KEBANGSAAN SRI JERAI, GURUN",2,345,263,43,35,2,343,2,0
49,PEKAN BARU GURUN 012/22/11,"SEKOLAH KEBANGSAAN SRI JERAI, GURUN",3,412,306,37,61,3,407,5,0
49,PEKAN BARU GURUN 012/22/11,"SEKOLAH KEBANGSAAN SRI JERAI, GURUN",4,444,291,43,107,1,442,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.012 JERAI
JUMLAH PEMILIH: 105,001                                                                                                                                                                                           MUKASURAT: 10/11",PEKAN BARU GURUN 012/22/11,"SEKOLAH KEBANGSAAN SRI JERAI, GURUN",4,444,291,43,107,1,442,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",43,107,1,442,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),ZULHAZMI BIN SHARIFF,DATO SERI DR. JAMIL KHIR BAHAROM,USTAZ SABRI BIN AZIT,DATUK NIZAM MAHSHAR,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
50,KAMPUNG GURUN 012/22/12,"SEKOLAH MENENGAH AGAMA PEKAN GURUN, GURUN",1,302,109,89,96,7,301,1,0
50,KAMPUNG GURUN 012/22/12,"SEKOLAH MENENGAH AGAMA PEKAN GURUN, GURUN",2,383,101,82,180,9,372,11,0
50,KAMPUNG GURUN 012/22/12,"SEKOLAH MENENGAH AGAMA PEKAN GURUN, GURUN",3,365,75,59,226,5,365,0,0
50,KAMPUNG GURUN 012/22/12,"SEKOLAH MENENGAH AGAMA PEKAN GURUN, GURUN",4,362,67,38,249,6,360,2,0
50,KAMPUNG GURUN 012/22/12,"SEKOLAH MENENGAH AGAMA PEKAN GURUN, GURUN",5,436,95,45,296,0,436,0,0
51,TAMAN SERI JERAI 012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",1,327,95,117,98,12,322,5,0
51,TAMAN SERI JERAI 012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",2,349,111,91,134,5,341,8,0
51,TAMAN SERI JERAI 012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",3,489,178,59,238,9,484,5,0
51,TAMAN SERI JERAI 012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",4,461,146,60,247,6,459,2,0
51,TAMAN SERI JERAI 012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",5,452,121,54,271,3,449,3,0
51,TAMAN SERI JERAI 012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",6,538,156,52,325,4,537,1,0
52,LADANG JERAI 012/22/14,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HARVARD BAHAGIAN I, BEDONG",1,280,133,81,45,6,265,15,0
52,LADANG JERAI 012/22/14,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HARVARD BAHAGIAN I, BEDONG",2,312,159,47,98,1,305,7,0
52,LADANG JERAI 012/22/14,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HARVARD BAHAGIAN I, BEDONG",3,370,54,38,276,2,370,0,0
53,SUNGAI PUNTAR 012/22/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI PUNTAR, BEDONG",1,228,105,83,24,6,218,10,0
53,SUNGAI PUNTAR 012/22/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI PUNTAR, BEDONG",2,213,111,58,41,0,210,3,0
54,SUNGAI TOK PAWANG 012/22/16,"SEKOLAH KEBANGSAAN SUNGAI TOK PAWANG, BEDONG",1,345,174,99,59,5,337,8,0
54,SUNGAI TOK PAWANG 012/22/16,"SEKOLAH KEBANGSAAN SUNGAI TOK PAWANG, BEDONG",2,452,140,78,225,5,448,4,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.012 JERAI
JUMLAH PEMILIH: 105,001                                                                                                                                                                                            MUKASURAT: 11/11",SUNGAI TOK PAWANG 012/22/16,"SEKOLAH KEBANGSAAN SUNGAI TOK PAWANG, BEDONG",2,452,140,78,225,5,448,4,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",78,225,5,448,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),ZULHAZMI BIN SHARIFF,DATO SERI DR. JAMIL KHIR BAHAROM,USTAZ SABRI BIN AZIT,DATUK NIZAM MAHSHAR,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
55,KAMPUNG MESJID 012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",1,303,137,84,65,9,295,8,0
55,KAMPUNG MESJID 012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",2,360,145,100,100,13,358,2,0
55,KAMPUNG MESJID 012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",3,371,168,81,112,6,367,4,0
55,KAMPUNG MESJID 012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",4,566,267,80,207,6,560,6,0
55,KAMPUNG MESJID 012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",5,495,233,65,189,4,491,4,0
55,KAMPUNG MESJID 012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",6,456,200,63,183,6,452,4,0
55,KAMPUNG MESJID 012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",7,470,222,34,209,4,469,1,0
55,KAMPUNG MESJID 012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",8,545,238,51,245,4,538,7,0
55,KAMPUNG MESJID 012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",9,570,226,61,279,0,566,4,0
56,PEKAN BAHRU BEDONG 012/22/18,"SEKOLAH  MENENGAH KEBANGSAAN BEDONG, BEDONG",1,250,178,31,37,4,250,0,0
56,PEKAN BAHRU BEDONG 012/22/18,"SEKOLAH  MENENGAH KEBANGSAAN BEDONG, BEDONG",2,294,231,17,43,2,293,1,0
JUMLAH,JUMLAH,JUMLAH,200,83294,15590,16269,49461,973,82293,837,164
